TITLE: Bill of Materials
BOM NO: 05-057494-01-d.csv
DATE: 02/28/2021
DESIGN: 02_057494d_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_057494d\worklib\02_057494d_top\bom\mech.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
34,2,E011856,RES SMD 3MEG Ohm 1% 1/10W 0603 AEC-Q200," 3MEG",R0603,1,N/A,1/10W,"R7,R27",VISHAY," CRCW06033M00FKEA",REL,N/A,N/A,N/A,N/A,7007465,?,?
35,1,E021609,RES SMD 2MEG Ohm 1% 1/10W 0603," 2MEG",R0603,1,N/A,1/10W,R28,YAGEO," RC0603FR-072ML",REL,N/A,N/A,N/A,N/A,N/A,?,?
36,4,E036086,RES SMD 3.3K Ohm 5% 1/4W 0603 AEC-Q200," 3.3K",R0603,5,N/A,1/4W,"R29,R30,R31,R32",ROHM," ESR03EZPJ332",REL,N/A,N/A,N/A,N/A,N/A,?,?
37,1,E043637,"RES SMD 2.7M OHM 5% 1/10W 0603, AEC-Q200"," 2.7MEG",R0603,5,N/A,1/10W,R8,PANASONIC," ERJ-3GEYJ275V",REL,N/A,N/A,N/A,N/A,N/A,?,?
38,1,E038798,RES TH TRIMMER 2MEG Ohm 10% 1/2W 6.6x6.99x4.7mm," 2MEG",POTBOURNS3262P,10,N/A,1/2W,R9,BOURNS," 3362P-1-205LF",REL,N/A,N/A,N/A,N/A,N/A,?,?
39,1,E026439,"SWITCH COMPACT SIZE TALL HEIGHT 0.5A, SPST-NO"," SKQMBBE010",SWSML236W138H197,N/A,12V,N/A,S1,ALPS ELECTRIC INC," SKQMBBE010",REL,N/A,N/A,N/A,N/A,N/A,?,?
40,1,E019772,IC-TTL SINGLE POSITIVE AND GATE," SN74LVC1G08DCKR",SC70-5,N/A,N/A,?,U1,TEXAS INSTRUMENTS," SN74LVC1G08DCKR",REL,N/A,N/A,N/A,N/A,N/A,?,?
41,1,E043510,IC-ADI NANOPOWER COMPARATOR WITH REFERENCE," LTC1540IMS8#PBF",MSOP8,N/A,N/A,?,U2,ANALOG DEVICES," LTC1540IMS8#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
42,1,E038452,"IC-ADI MICROPOWER, 10KHZ TO 1MEGHZ RESISTOR SET OSCILLATOR"," LTC6906IS6#PBF",TSOT23_6,N/A,N/A,?,U3,ANALOG DEVICES," LTC6906IS6#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
43,1,E038792,IC-ADI TIMERBLOX DELAY CLOCK/DEBOUNCER," LTC6994CS6-1#TRMPBF",TSOT23_6,N/A,N/A,?,U4,ANALOG DEVICES," LTC6994CS6-1#TRMPBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
44,1,E038786,IC-ADI ULTRALOW POWER DUAL COMPARATOR WITH REFERENCE," LTC1441CS8#PBF",SO8NB-5,N/A,N/A,?,U5,ANALOG DEVICES," LTC1441CS8#PBF",REL,N/A,N/A,N/A,N/A,N/A,?,?

Callouts File:C:\tmp\20_057494d\worklib\02_057494d_top\bom\mech.callouts
Mechanical Parts
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
2,1,M044026,CONNECTOR HEADER VERT 2POS 2.54MM," ?",N/A,?,?,?,?,SAMTEC INC.," TSW-102-09-G-S",REL,N/A,N/A,N/A,N/A,N/A,?,?
3,1,M036050,SHUNT 2 (2X1) POS CONNECTOR BLACK 2.54MM," ?",N/A,?,?,?,?,SAMTEC INC.," SNT-100-BK-T",REL,N/A,N/A,N/A,N/A,N/A,?,?
4,2,M044354,CABLE TIE LOCKING BLACK 18LBS 104.24MM LONG," ?",N/A,?,?,?,?,3M," CT4BK18-C",REL,N/A,N/A,N/A,N/A,N/A,?,?


The following components are part of the PCB or are NOT to be installed
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
 14,3,E004447,RES SMD 0 Ohm JUMPER 1/10W 0603 AEC-Q200," 0",R0603,JUMPER,N/A,1/10W,"JP2,JP3,JP4",PANASONIC," ERJ-3GEY0R00V",REL,N/A,N/A,N/A,N/A,7008623,?,DNI
 25,2,E003682,RES SMD 1MEG Ohm 1% 1/10W 0603 AEC-Q200," 1MEG",R0603,1,N/A,1/10W,"R10,R11",PANASONIC," ERJ-3EKF1004V",REL,A003-0032-017,41816DG307,FEC 911-598,N/A,N/A,?,DNI

